"OwnerUserId","UserProfile","label","label2"
3130064,"https://stackoverflow.com/users/3130064","New","New"
8314485,"https://stackoverflow.com/users/8314485","New","New"
4387867,"https://stackoverflow.com/users/4387867","Intermediate","Intermediate"
2398249,"https://stackoverflow.com/users/2398249","Intermediate","Intermediate"
7083555,"https://stackoverflow.com/users/7083555","New","New"
391104,"https://stackoverflow.com/users/391104","New","New"
1187807,"https://stackoverflow.com/users/1187807","New","New"
399642,"https://stackoverflow.com/users/399642","New","New"
1752012,"https://stackoverflow.com/users/1752012","Intermediate","Intermediate"
9486888,"https://stackoverflow.com/users/9486888","New","New"
4130703,"https://stackoverflow.com/users/4130703","New","New"
850360,"https://stackoverflow.com/users/850360","New","New"
3439799,"https://stackoverflow.com/users/3439799","New","New"
705481,"https://stackoverflow.com/users/705481","New","New"
6638810,"https://stackoverflow.com/users/6638810","New","New"
8146571,"https://stackoverflow.com/users/8146571","Expert","Intermediate"
4930328,"https://stackoverflow.com/users/4930328","New","New"
2571840,"https://stackoverflow.com/users/2571840","Expert","Expert"
729697,"https://stackoverflow.com/users/729697","New","New"
490291,"https://stackoverflow.com/users/490291","Intermediate","Intermediate"
5427529,"https://stackoverflow.com/users/5427529","New","New"
9464081,"https://stackoverflow.com/users/9464081","New","New"
800936,"https://stackoverflow.com/users/800936","New","New"
6411464,"https://stackoverflow.com/users/6411464","New","New"
7506578,"https://stackoverflow.com/users/7506578","New","New"
2501044,"https://stackoverflow.com/users/2501044","Expert","Expert"
3879793,"https://stackoverflow.com/users/3879793","New","New"
419516,"https://stackoverflow.com/users/419516","Intermediate","Intermediate"
299209,"https://stackoverflow.com/users/299209","Intermediate","Intermediate"
1122228,"https://stackoverflow.com/users/1122228","Intermediate","Intermediate"
3360618,"https://stackoverflow.com/users/3360618","New","New"
1438918,"https://stackoverflow.com/users/1438918","Intermediate","Intermediate"
229144,"https://stackoverflow.com/users/229144","Intermediate","Intermediate"
1530014,"https://stackoverflow.com/users/1530014","New","New"
7587692,"https://stackoverflow.com/users/7587692","New","New"
1575148,"https://stackoverflow.com/users/1575148","New","New"
3857475,"https://stackoverflow.com/users/3857475","New","New"
618948,"https://stackoverflow.com/users/618948","New","New"
4649692,"https://stackoverflow.com/users/4649692","New","New"
527175,"https://stackoverflow.com/users/527175","New","New"
598478,"https://stackoverflow.com/users/598478","Expert","Expert"
7343009,"https://stackoverflow.com/users/7343009","New","New"
5768335,"https://stackoverflow.com/users/5768335","Expert","Expert"
485686,"https://stackoverflow.com/users/485686","New","New"
140100,"https://stackoverflow.com/users/140100","New","New"
5330548,"https://stackoverflow.com/users/5330548","New","New"
364383,"https://stackoverflow.com/users/364383","Expert","Intermediate"
2637881,"https://stackoverflow.com/users/2637881","New","New"
968801,"https://stackoverflow.com/users/968801","Expert","Expert"
459384,"https://stackoverflow.com/users/459384","New","New"
